metric,value,unit
scenario,always_on,-
duration,3600.0,s
orders_created,48,count
orders_completed,45,count
avg_throughput_time,107.98993349078482,s
lighting_energy,10950.0,Wh
agv_energy,15150.844791666668,Wh
total_energy,26100.84479166667,Wh
total_agv_distance,4094.822916666667,m
energy_cost,6.003194302083334,EUR

agv_id,orders_served,distance_m,time_travelled_s,energy_wh
1,21,1904.5520833333333,1904.5520833333333,7046.842708333334
2,15,1323.6458333333337,1323.6458333333337,4897.489583333335
3,9,866.6249999999999,866.6249999999999,3206.5125
